*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Thu Jan 27 2022 19:28:25 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 348 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 312 | [PUNK]-[WETH] SLP    |       2.1300 |      $96,221.09 | SUSHI  |  33.13% | 0.00 ($0.00), 0.00% |
| 314 | [COOL]-[WETH] SLP    |       0.1834 |       $3,168.15 | SUSHI  | 251.59% | 0.00 ($0.00), 0.00% |
| 315 | [WIZARD]-[WETH] SLP  |       2.6891 |      $21,268.94 | SUSHI  | 112.43% | 0.00 ($0.00), 0.00% |
| 319 | [WETH]-[BAYC] SLP    |       1.1023 |      $57,094.08 | SUSHI  |  41.88% | 0.00 ($0.00), 0.00% |
| 323 | [OHM]-[LUSD] SLP     |      15.0000 |   $9,885,314.81 | SUSHI  |   0.11% | 0.00 ($0.00), 0.00% |
| 324 | [stkATOM]-[WETH] SLP |       0.0000 |      $22,056.50 | SUSHI  |   7.23% | 0.00 ($0.00), 0.00% |
| 325 | [MIM]-[WETH] SLP     |   49382.8205 |   $5,920,303.91 | SUSHI  |   3.55% | 0.00 ($0.00), 0.00% |
| 326 | [CELO]-[WETH] SLP    |     459.3333 |      $88,553.15 | SUSHI  |  72.01% | 0.00 ($0.00), 0.00% |
| 327 | [OHM]-[WETH] SLP     |       0.0026 |     $125,218.10 | SUSHI  |  19.10% | 0.00 ($0.00), 0.00% |
| 329 | [FRAX]-[WETH] SLP    |   12566.5622 |   $1,384,636.28 | SUSHI  |   0.69% | 0.00 ($0.00), 0.00% |
| 331 | [RARE]-[WETH] SLP    |    4140.4036 |     $336,062.90 | SUSHI  |  30.83% | 0.00 ($0.00), 0.00% |
| 334 | [WETH]-[SUPER] SLP   |    1337.1433 |     $145,824.45 | SUSHI  |  27.33% | 0.00 ($0.00), 0.00% |
| 336 | [XRUNE]-[WETH] SLP   |     252.4519 |      $11,412.89 | SUSHI  |  27.94% | 0.00 ($0.00), 0.00% |
| 337 | [INSUR]-[WETH] SLP   |    2369.2025 |     $198,809.51 | SUSHI  |   3.21% | 0.00 ($0.00), 0.00% |
| 338 | [FLOAT]-[WETH] SLP   |    2301.4032 |     $288,771.77 | SUSHI  |  27.60% | 0.00 ($0.00), 0.00% |
| 339 | [TXL]-[WETH] SLP     |      59.9062 |       $1,577.92 | SUSHI  | 101.03% | 0.00 ($0.00), 0.00% |
| 340 | [OHM]-[LOBI] SLP     |       0.0000 |       $1,769.69 | SUSHI  | 450.40% | 0.00 ($0.00), 0.00% |
| 341 | [agEUR]-[ANGLE] SLP  |   38215.2835 |      $49,461.90 | SUSHI  |  16.11% | 0.00 ($0.00), 0.00% |
| 342 | [IQ]-[WETH] SLP      |     992.2391 |       $9,434.92 | SUSHI  |  84.48% | 0.00 ($0.00), 0.00% |
| 343 | [DIVINE]-[WETH] SLP  |     186.0345 |       $4,453.00 | SUSHI  | 179.00% | 0.00 ($0.00), 0.00% |
| 344 | POLYGONDUMMYTOKEN    |       0.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 345 | CELODUMMYTOKEN       |       0.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 346 | XDAIDUMMYTOKEN       |       0.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 347 | [OHM]-[DAI] SLP      |       0.9079 |     $470,561.62 | SUSHI  | 338.77% | 0.00 ($0.00), 0.00% |
'------------------------------------------------------------------------------------------------------'
