*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Mon Sep 13 2021 10:11:57 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 298 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 170 | [WETH]-[ROOK] SLP    |    1588.5639 |   $2,542,275.30 | SUSHI  |  18.81% | 0.00 ($0.00), 0.00% |
| 172 | [DFX]-[WETH] SLP     |     356.8374 |      $30,499.74 | SUSHI  |  69.67% | 0.00 ($0.00), 0.00% |
| 173 | [INV]-[WETH] SLP     |     342.1697 |     $522,695.69 | SUSHI  |  24.39% | 0.00 ($0.00), 0.00% |
| 175 | [OCEAN]-[WETH] SLP   |    3402.0272 |     $364,179.29 | SUSHI  |  35.01% | 0.00 ($0.00), 0.00% |
| 176 | [WOO]-[USDC] SLP     |       1.1390 |   $1,803,037.68 | SUSHI  |  17.68% | 0.00 ($0.00), 0.00% |
| 177 | [pONT]-[pWING] SLP   |       0.0000 |      $16,706.10 | SUSHI  |  63.60% | 0.00 ($0.00), 0.00% |
| 178 | [DNT]-[WETH] SLP     |   19736.2168 |     $978,364.70 | SUSHI  |   3.26% | 0.00 ($0.00), 0.00% |
| 181 | [EGT]-[WETH] SLP     |     191.6551 |     $581,032.07 | SUSHI  |   1.83% | 0.00 ($0.00), 0.00% |
| 183 | [MUST]-[WETH] SLP    |     423.2951 |     $414,318.23 | SUSHI  |   7.69% | 0.00 ($0.00), 0.00% |
| 185 | [OHM]-[DAI] SLP      |       3.3511 |   $5,306,334.67 | SUSHI  |  44.05% | 0.00 ($0.00), 0.00% |
| 186 | [POOL]-[WETH] SLP    |     642.6149 |     $256,496.33 | SUSHI  |  29.00% | 0.00 ($0.00), 0.00% |
| 187 | [WETH]-[YLD] SLP     |   12963.0845 |   $1,066,529.15 | SUSHI  |  17.93% | 0.00 ($0.00), 0.00% |
| 188 | [BZRX]-[WETH] SLP    |   23766.3216 |   $1,591,869.54 | SUSHI  |  10.01% | 0.00 ($0.00), 0.00% |
| 190 | kmWETH/USDT-LINK     |  100670.3177 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 191 | kmWETH/USDC-LINK     |  119880.4480 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
